epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4982,2.23946,3.71577,4.84533,2.21011,0.08744,0.06849,0.02608,0.00781,0.00814,0.02192,0.00077,0.0002,2.44824,5.83264,10.1877,3.72118,0.000649123,0.000649123,0.000649123
2,23.5003,2.44816,2.77854,3.06309,2.40479,0.0152,0.04658,0.00347,0.00064,0.00377,0.00274,0.00013,2e-05,3.86376,73.7237,7.4107,46.9631,0.0013145,0.0013145,0.0013145
3,32.7332,2.69162,2.83815,3.04471,2.58622,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00197472,0.00197472,0.00197472
4,42.5866,2.54926,2.85805,2.98045,2.47518,0.00785,0.02466,0.00175,0.00039,0.1,0.00274,0.00515,0.00054,4.0536,14.5683,13.2336,10.269,0.00198246,0.00198246,0.00198246
5,52.1435,2.36503,2.66242,2.89251,2.42268,0.07411,0.10411,0.02215,0.00627,0.02138,0.05205,0.00449,0.00082,2.77572,3.21059,5.65443,2.85937,0.0019689,0.0019689,0.0019689
6,61.746,2.32873,2.59774,2.83637,2.37679,0.13839,0.21096,0.07604,0.02129,0.09968,0.14409,0.03939,0.00726,2.61451,2.59366,5.6713,2.63628,0.00195155,0.00195155,0.00195155
7,71.5083,2.32297,2.64003,2.85922,2.32212,0.14416,0.11781,0.05867,0.01968,0.10256,0.07945,0.02411,0.00605,2.49003,2.87757,6.1236,2.72026,0.00193048,0.00193048,0.00193048
8,81.6141,2.21978,2.57092,2.75135,2.21876,0.12786,0.23014,0.06447,0.0207,0.12342,0.14795,0.04265,0.00777,2.36541,2.84977,3.95541,2.46316,0.00190578,0.00190578,0.00190578
9,91.452,2.2258,2.5352,2.74968,2.25165,0.13673,0.17808,0.07463,0.02336,0.09627,0.14521,0.0476,0.01137,2.48366,2.46208,2.85662,2.57302,0.00187754,0.00187754,0.00187754
10,101.588,2.14123,2.45787,2.69321,2.18532,0.14522,0.18356,0.06496,0.0218,0.12072,0.16986,0.05318,0.01293,2.14557,2.28941,3.98408,2.32399,0.00184588,0.00184588,0.00184588
11,111.533,2.11487,2.51862,2.66799,2.143,0.12725,0.17808,0.0905,0.03068,0.1242,0.12877,0.07395,0.0181,2.10072,2.25706,3.27304,2.14385,0.00181093,0.00181093,0.00181093
12,121.525,2.0666,2.48204,2.6265,2.08081,0.15067,0.18356,0.09017,0.02991,0.12144,0.10959,0.04431,0.00916,2.35774,2.68567,3.24092,2.23608,0.00177281,0.00177281,0.00177281
13,131.283,2.02777,2.3887,2.56123,2.06176,0.20699,0.29589,0.14003,0.05146,0.1718,0.23562,0.08972,0.02113,2.12329,2.16758,2.59452,2.13049,0.00173168,0.00173168,0.00173168
14,141.323,2.04842,2.40484,2.527,2.07174,0.2064,0.21918,0.12994,0.04483,0.19737,0.2137,0.11583,0.025,2.15259,2.21221,2.9245,2.16952,0.0016877,0.0016877,0.0016877
15,151.255,1.97627,2.36953,2.51582,2.0108,0.22654,0.22466,0.11901,0.04581,0.19706,0.2,0.094,0.02443,2.09365,2.30091,2.66497,2.05553,0.00164105,0.00164105,0.00164105
16,161.137,1.97838,2.3892,2.48864,2.02403,0.22742,0.32877,0.15065,0.05886,0.20666,0.27549,0.13979,0.03687,1.97712,2.09739,2.57773,1.98897,0.00159191,0.00159191,0.00159191
17,170.88,1.91749,2.37395,2.41133,1.96017,0.19279,0.23288,0.11681,0.04168,0.09162,0.12877,0.03028,0.00694,2.15311,3.03002,2.87777,2.17972,0.00154047,0.00154047,0.00154047
18,180.338,1.83284,2.27848,2.35032,1.90212,0.24905,0.37534,0.19029,0.0761,0.25178,0.31233,0.17874,0.04646,1.97856,2.19862,2.54436,1.9274,0.00148694,0.00148694,0.00148694
19,190.223,1.88411,2.31648,2.35515,1.91265,0.27235,0.28767,0.20302,0.087,0.24541,0.25127,0.15427,0.03995,1.89974,2.10058,2.40626,1.8711,0.00143152,0.00143152,0.00143152
20,200.108,1.87807,2.25855,2.29697,1.84864,0.29535,0.31233,0.21029,0.08034,0.20936,0.26481,0.13732,0.03471,1.91254,2.23732,2.51202,1.85468,0.00137444,0.00137444,0.00137444
21,209.787,1.78917,2.30738,2.22031,1.82747,0.30854,0.31541,0.2397,0.10551,0.34843,0.28493,0.20207,0.05461,1.9058,2.08251,2.40185,1.81122,0.00131593,0.00131593,0.00131593
22,219.752,1.7892,2.22099,2.22255,1.82723,0.32267,0.34795,0.26507,0.12382,0.37285,0.31781,0.24478,0.07732,1.85911,2.02158,2.3446,1.79848,0.0012562,0.0012562,0.0012562
23,229.662,1.77387,2.20048,2.24217,1.81554,0.3169,0.34572,0.28293,0.12598,0.34663,0.32268,0.24475,0.06915,1.78992,1.93669,2.19395,1.72322,0.00119551,0.00119551,0.00119551
