epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,239.227,1.73579,2.14584,2.13513,1.77267,0.27288,0.28379,0.19113,0.08662,0.23488,0.2411,0.13657,0.04064,2.01329,2.3188,2.56771,2.01356,0.00113408,0.00113408,0.00113408
25,248.836,1.66178,2.14737,2.09018,1.73604,0.35934,0.37341,0.29643,0.12711,0.35516,0.34795,0.23885,0.07998,1.81507,2.00176,2.23984,1.73741,0.00107216,0.00107216,0.00107216
26,258.62,1.66201,2.19364,2.04056,1.71513,0.39802,0.39178,0.33274,0.14728,0.37748,0.36438,0.25778,0.08305,1.72392,1.89586,2.13909,1.65844,0.00101,0.00101,0.00101
27,268.552,1.64356,2.19637,1.97951,1.69083,0.38545,0.33699,0.29827,0.13502,0.39977,0.29863,0.26075,0.07804,1.75077,2.11407,2.19906,1.67739,0.000947837,0.000947837,0.000947837
28,278.28,1.63451,2.13077,2.05704,1.6924,0.42529,0.39452,0.35571,0.16889,0.40131,0.34521,0.28384,0.08543,1.72606,1.96042,2.04607,1.68631,0.00088592,0.00088592,0.00088592
29,288.122,1.58924,2.08222,1.95644,1.64307,0.40972,0.40274,0.3519,0.16658,0.39697,0.37808,0.2874,0.09155,1.66729,1.86257,2.03888,1.59477,0.000824492,0.000824492,0.000824492
30,297.959,1.55867,2.07204,1.95258,1.65538,0.45286,0.4137,0.35928,0.15531,0.40488,0.36986,0.27481,0.092,1.75891,1.90121,2.05407,1.70078,0.000763797,0.000763797,0.000763797
31,307.477,1.60143,2.04738,1.95487,1.69337,0.45062,0.35956,0.3571,0.15755,0.38788,0.37808,0.29967,0.09337,1.75744,1.9507,2.10105,1.69884,0.000704073,0.000704073,0.000704073
32,317.249,1.55964,2.02489,1.91643,1.65484,0.44845,0.47397,0.37882,0.17883,0.43344,0.40548,0.32859,0.10547,1.68149,1.8236,1.94782,1.63511,0.000645557,0.000645557,0.000645557
33,329.542,1.51979,2.00909,1.87279,1.63222,0.42925,0.46027,0.36854,0.18298,0.41211,0.42253,0.31319,0.09688,1.65271,1.82014,1.97231,1.61912,0.000588479,0.000588479,0.000588479
34,342.085,1.5226,2.04433,1.85974,1.61322,0.48472,0.46133,0.41903,0.2049,0.43875,0.40907,0.33962,0.11319,1.65534,1.8319,1.90134,1.58722,0.000533064,0.000533064,0.000533064
35,355.008,1.49566,2.06136,1.84057,1.58741,0.47093,0.44871,0.41257,0.21395,0.43085,0.41644,0.3448,0.11627,1.65651,1.81133,1.95746,1.58096,0.000479531,0.000479531,0.000479531
36,367.944,1.49816,2.00636,1.8398,1.58547,0.49447,0.47397,0.40845,0.21502,0.45276,0.40548,0.33716,0.11104,1.61337,1.80616,1.87789,1.56506,0.000428093,0.000428093,0.000428093
37,380.719,1.44998,1.97493,1.77503,1.55874,0.48418,0.46027,0.42112,0.21635,0.43707,0.41096,0.33764,0.10867,1.65904,1.81462,1.8866,1.59733,0.00037895,0.00037895,0.00037895
38,393.201,1.45252,1.93934,1.77548,1.57498,0.48398,0.46254,0.43229,0.22687,0.46502,0.42466,0.36583,0.12004,1.62954,1.78133,1.85512,1.55785,0.000332298,0.000332298,0.000332298
39,405.934,1.45452,1.97635,1.71642,1.54896,0.50539,0.47945,0.44172,0.22857,0.45031,0.41644,0.35413,0.11953,1.62674,1.81441,1.806,1.5497,0.000288321,0.000288321,0.000288321
40,416.685,1.44573,1.94196,1.69686,1.55106,0.53527,0.49315,0.46766,0.24713,0.51196,0.42466,0.38954,0.12845,1.58266,1.77176,1.77311,1.52916,0.000247192,0.000247192,0.000247192
41,439.519,1.41032,1.874,1.67898,1.54551,0.52939,0.47462,0.47643,0.2625,0.51418,0.42335,0.40433,0.13345,1.58139,1.76712,1.74147,1.52876,0.000209073,0.000209073,0.000209073
42,449.326,1.37156,1.893,1.63771,1.52308,0.52792,0.46849,0.45036,0.2481,0.51642,0.41546,0.37187,0.12273,1.56814,1.76653,1.73815,1.52894,0.000174115,0.000174115,0.000174115
43,458.975,1.40458,1.89783,1.69262,1.53334,0.53473,0.48491,0.45615,0.24963,0.50708,0.42466,0.38357,0.1246,1.53359,1.75494,1.71298,1.49019,0.000142456,0.000142456,0.000142456
44,468.607,1.35746,1.83261,1.61914,1.52013,0.49121,0.53151,0.47434,0.25653,0.52067,0.44658,0.4247,0.13743,1.55106,1.74541,1.70402,1.49554,0.000114221,0.000114221,0.000114221
45,478.396,1.34975,1.80119,1.63924,1.51887,0.5378,0.48767,0.48054,0.26562,0.50309,0.46027,0.40853,0.1366,1.51785,1.73232,1.69469,1.47918,8.95213e-05,8.95213e-05,8.95213e-05
46,488.401,1.34927,1.85526,1.62117,1.51896,0.53599,0.50411,0.47062,0.26139,0.51671,0.46301,0.40515,0.13342,1.53372,1.73179,1.69185,1.48138,6.8454e-05,6.8454e-05,6.8454e-05
47,498.193,1.316,1.8353,1.595,1.50866,0.55039,0.49972,0.47767,0.26081,0.5257,0.42514,0.38646,0.13319,1.51908,1.72708,1.67348,1.47342,5.11027e-05,5.11027e-05,5.11027e-05
48,507.935,1.35327,1.78784,1.60753,1.52069,0.55553,0.48767,0.48362,0.26674,0.52216,0.43562,0.39042,0.13003,1.50982,1.73409,1.67023,1.46951,3.75356e-05,3.75356e-05,3.75356e-05
49,518.073,1.35265,1.82343,1.58268,1.51934,0.56366,0.48219,0.48092,0.26812,0.53684,0.45479,0.40721,0.13169,1.51177,1.74315,1.67213,1.46678,2.78064e-05,2.78064e-05,2.78064e-05
50,527.786,1.34886,1.83134,1.58362,1.48974,0.56033,0.49041,0.48146,0.26726,0.52276,0.45753,0.40389,0.13042,1.50978,1.74908,1.67537,1.46742,2.19535e-05,2.19535e-05,2.19535e-05
