epoch,total_loss,mask_loss,box_loss,classifier_loss,lr
1,1.053789358390005,0.595745283522104,0.09468240683016024,0.12969329796339335,0.005
2,0.7237960962872756,0.38529851954234273,0.10814623593499786,0.10060489432592142,0.005
3,0.6683855888090635,0.33237354771087047,0.1322105199490723,0.10454904150805976,0.005
4,0.6355125621745461,0.30851671609439346,0.13677387488515755,0.10105156859284953,0.005
5,0.607546843980488,0.2965536431262368,0.13696013822367317,0.09753529413750298,0.005
6,0.5740760933411749,0.2815479036224516,0.13051658025697657,0.09399919388325591,0.005
7,0.5486124542198683,0.2714740810425658,0.12273853095738511,0.09107518960770808,0.005
8,0.5160470589211112,0.25246445011151464,0.11799254072339911,0.08612227802606005,0.005
9,0.49477088529812663,0.24230966560150446,0.1153476228447337,0.0834094907500242,0.005
10,0.4830760414663114,0.24177812510415128,0.11336143275624827,0.07961557060480118,0.005
11,0.455620906070659,0.22616637537353917,0.1064913761066763,0.07693741019619138,0.005
12,0.4425819861261468,0.22350652672742544,0.10316180075077634,0.07197858432405874,0.005
13,0.42134264189946025,0.2130662787117456,0.10059397451971706,0.06755181960761547,0.005
14,0.4011231598101164,0.20503386306135277,0.09516658673160955,0.06316112285774005,0.005
15,0.39073534780427027,0.20230235394678617,0.0919308186949868,0.05981682932102367,0.005
16,0.37966399286922653,0.19852982461452484,0.0893840988803851,0.056361785158514977,0.005
17,0.35700827209573044,0.1875223011562699,0.08519969419821312,0.05184269549423143,0.005
18,0.3431194401101062,0.18183324486017227,0.08092141337692738,0.04920964340042127,0.005
19,0.33140825088086884,0.1782859156006261,0.0773570598348191,0.04626847136961786,0.005
20,0.3227672090655879,0.17510728028259778,0.07478378404323992,0.04377826146389309,0.005
21,0.3142059755168463,0.1723894237687713,0.0718298456386516,0.04277187492698431,0.005
22,0.30341865239959015,0.1682287274222625,0.06954287316061948,0.040244457458979206,0.005
23,0.2940855892865281,0.1649391811929251,0.06570126577035378,0.03859800409133497,0.005
24,0.2866704965892591,0.16082874842380224,0.06427664250919693,0.0370744598637286,0.005
25,0.2824478623898406,0.16080405837611148,0.061887045243853016,0.03575420212980948,0.005
26,0.27147786868245977,0.156717423153551,0.05940342096513823,0.03326526289119532,0.005
27,0.267927333320442,0.15612770636615,0.05740317486618694,0.032382753285530363,0.005
28,0.2624407092991628,0.1539844821550344,0.05648094249006949,0.03123769536614418,0.005
29,0.2606729272949068,0.15373169611159124,0.055052504237545166,0.030821677640472587,0.005
30,0.25233037338445063,0.14961620694712588,0.05248652751508512,0.029978472249288308,0.005
31,0.24992688941328148,0.1499966986869511,0.052068199570241724,0.02899913612361017,0.005
32,0.2479978909617976,0.14941197437675377,0.05053392670264369,0.028780360804184488,0.005
33,0.24013814683023252,0.14607195124814384,0.048421340259282214,0.027682286883263213,0.005
34,0.23927048593759537,0.1474015599018649,0.04704730398952961,0.02687620101986747,0.005
35,0.2274205378795925,0.14118109506211782,0.04444830144118322,0.024871181794687322,0.005
36,0.22138281754757227,0.1382425094121381,0.04263952310736242,0.02473563210744607,0.005
37,0.22009328870396866,0.13699748680779808,0.04262847771966144,0.02450816534263523,0.005
38,0.2176730119084057,0.13664932647033742,0.0416687519632672,0.02352362579519027,0.005
39,0.21295400708913803,0.1346527539977902,0.040897282330613384,0.022481673593191726,0.005
40,0.21126575179790197,0.13560360768123678,0.0392633730447606,0.021979801062690586,0.005
41,0.20833403891638705,0.13346672175746216,0.03819560190956844,0.021835932042449713,0.005
42,0.2020124412680927,0.1313742716845713,0.03661679172594296,0.020519017045827287,0.005
43,0.20322768821528084,0.13059614363469577,0.03748148341516131,0.02068419212867555,0.005
44,0.1995478590068064,0.13025755121519692,0.03583416141765682,0.019641654026743612,0.005
